No.overall,No. inseason,Title,Directed by,Written by,Original air date,U.S. viewers(millions)
11,1,The North Remembers,Alan Taylor,David Benioff & D. B. Weiss,"April 1, 2012 (2012-04-01)",3.86
12,2,The Night Lands,Alan Taylor,David Benioff & D. B. Weiss,"April 8, 2012 (2012-04-08)",3.76
13,3,What Is Dead May Never Die,Alik Sakharov,Bryan Cogman,"April 15, 2012 (2012-04-15)",3.77
14,4,Garden of Bones,David Petrarca,Vanessa Taylor,"April 22, 2012 (2012-04-22)",3.65
15,5,The Ghost of Harrenhal,David Petrarca,David Benioff & D. B. Weiss,"April 29, 2012 (2012-04-29)",3.90
16,6,The Old Gods and the New,David Nutter,Vanessa Taylor,"May 6, 2012 (2012-05-06)",3.88
17,7,A Man Without Honor,David Nutter,David Benioff & D. B. Weiss,"May 13, 2012 (2012-05-13)",3.69
18,8,The Prince of Winterfell,Alan Taylor,David Benioff & D. B. Weiss,"May 20, 2012 (2012-05-20)",3.86
19,9,Blackwater,Neil Marshall,George R. R. Martin,"May 27, 2012 (2012-05-27)",3.38
20,10,Valar Morghulis,Alan Taylor,David Benioff & D. B. Weiss,"June 3, 2012 (2012-06-03)",4.20
